service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
5W SHOW #3 SCH,0,0,0,0,0,0,0,20200816,20201219
I5 UIMF,0,0,0,0,0,0,0,20200816,20201219
I6UISA,0,0,0,0,0,0,0,20200816,20201219
GR1 SU,0,0,0,0,0,0,0,20200816,20201219
I1NONUISA,0,0,0,0,0,0,0,20200816,20201219
T2UISA,0,0,0,0,0,0,0,20200816,20201219
GN1 MF V1,0,0,0,0,0,0,0,20200816,20201219
Y5UISU,0,0,0,0,0,0,0,20200816,20201219
SV2 UIMF,0,0,0,0,0,0,0,20200816,20201219
GR1SA,0,0,0,0,0,0,0,20200816,20201219
Y2 MF,0,0,0,0,0,0,0,20200816,20201219
R1 MF V1,0,0,0,0,0,0,0,20200816,20201219
I1 NONUIMF,0,0,0,0,0,0,0,20200816,20201219
GN8 SHOW SCH,0,0,0,0,0,0,0,20200816,20201219
R2SA V1,0,0,0,0,0,0,0,20200816,20201219
GNX3 MF,0,0,0,0,0,0,0,20200816,20201219
Y4SA,0,0,0,0,0,0,0,20200816,20201219
6E HUSch MF,0,0,0,0,0,0,0,20200816,20201219
L2SU,0,0,0,0,0,0,0,20200816,20201219
Y1UIMF V1,0,0,0,0,0,0,0,20200816,20201219
BA1 MF V1,0,0,0,0,0,0,0,20200816,20201219
Y5 MF,0,0,0,0,0,0,0,20200816,20201219
T2UISU,0,0,0,0,0,0,0,20200816,20201219
R3SA V1,0,0,0,0,0,0,0,20200816,20201219
T1 NONUIMF V1,0,0,0,0,0,0,0,20200816,20201219
BB1 MF,0,0,0,0,0,0,0,20200816,20201219
6E SCH,0,0,0,0,0,0,0,20200816,20201219
L1 NOSCHMF,0,0,0,0,0,0,0,20200816,20201219
SV1 NONUISU V1,0,0,0,0,0,0,0,20200816,20201219
R5 MF V1,0,0,0,0,0,0,0,20200816,20201219
GN4 SU,0,0,0,0,0,0,0,20200816,20201219
GN3UISA V1,0,0,0,0,0,0,0,20200816,20201219
6E HUSch PM MF,0,0,0,0,0,0,0,20200816,20201219
B4 NOSCH,0,0,0,0,0,0,0,20200816,20201219
SV1UISU V1,0,0,0,0,0,0,0,20200816,20201219
GR4SA,0,0,0,0,0,0,0,20200816,20201219
SV4 UI NOSCH V1,0,0,0,0,0,0,0,20200816,20201219
SV1 UIMF,0,0,0,0,0,0,0,20200816,20201219
GN6 NOSCH,0,0,0,0,0,0,0,20200816,20201219
T1 UIMF V1,0,0,0,0,0,0,0,20200816,20201219
GN4 MF V1,0,0,0,0,0,0,0,20200816,20201219
LM2 MF,0,0,0,0,0,0,0,20200816,20201219
I1 NON UI SU V1,0,0,0,0,0,0,0,20200816,20201219
B4 SCH V1,0,0,0,0,0,0,0,20200816,20201219
GN8 SCH,0,0,0,0,0,0,0,20200816,20201219
BZ2 MF1,0,0,0,0,0,0,0,20200816,20201219
SV1UISA V1,0,0,0,0,0,0,0,20200816,20201219
GN3 MF V1,0,0,0,0,0,0,0,20200816,20201219
T5 UIMF,0,0,0,0,0,0,0,20200816,20201219
3S / 5W SHOW SCH,0,0,0,0,0,0,0,20200816,20201219
Y7 UIMF,0,0,0,0,0,0,0,20200816,20201219
GN3 MF,0,0,0,0,0,0,0,20200816,20201219
5E SHOW SCH,0,0,0,0,0,0,0,20200816,20201219
Y2 MF V1,0,0,0,0,0,0,0,20200816,20201219
Y5 MF V1,0,0,0,0,0,0,0,20200816,20201219
1S-8E SHOW SCH,0,0,0,0,0,0,0,20200816,20201219
GNX4 MF V1,0,0,0,0,0,0,0,20200816,20201219
T3 NONUIMF V1,0,0,0,0,0,0,0,20200816,20201219
BZ1 NOSCHMF,0,0,0,0,0,0,0,20200816,20201219
RUB2 MF,0,0,0,0,0,0,0,20200816,20201219
GR2 MF,0,0,0,0,0,0,0,20200816,20201219
Y3 NON UI MF,0,0,0,0,0,0,0,20200816,20201219
Y6 NOSCHMF,0,0,0,0,0,0,0,20200816,20201219
GN5 MF V1,0,0,0,0,0,0,0,20200816,20201219
Y8 MF,0,0,0,0,0,0,0,20200816,20201219
GN1 SU V1,0,0,0,0,0,0,0,20200816,20201219
B2 MF V1,0,0,0,0,0,0,0,20200816,20201219
BB2 MF V1,0,0,0,0,0,0,0,20200816,20201219
Y1 NON UI MF,0,0,0,0,0,0,0,20200816,20201219
16A#2 SHOW SCH,0,0,0,0,0,0,0,20200816,20201219
Y4SU V1,0,0,0,0,0,0,0,20200816,20201219
Y3SU,0,0,0,0,0,0,0,20200816,20201219
Y3UIMF V1,0,0,0,0,0,0,0,20200816,20201219
