service_id,date,exception_type
SV1 UIMF,20201116,1
SV1 UIMF,20201117,1
SV1 UIMF,20201118,1
SV1 UIMF,20201119,1
SV1 UIMF,20201120,1
GN1 MF V1,20200817,1
GN1 MF V1,20200818,1
GN1 MF V1,20200819,1
GN1 MF V1,20200820,1
GN1 MF V1,20200821,1
GN1 MF V1,20200824,1
GN1 MF V1,20200825,1
GN1 MF V1,20200826,1
GN1 MF V1,20200827,1
GN1 MF V1,20200828,1
GN1 MF V1,20200831,1
GN1 MF V1,20200901,1
GN1 MF V1,20200902,1
GN1 MF V1,20200903,1
GN1 MF V1,20200904,1
GN1 MF V1,20200908,1
GN1 MF V1,20200909,1
GN1 MF V1,20200910,1
GN1 MF V1,20200911,1
GN1 MF V1,20200914,1
GN1 MF V1,20200915,1
GN1 MF V1,20200916,1
GN1 MF V1,20200917,1
GN1 MF V1,20200918,1
GN1 MF V1,20200921,1
GN1 MF V1,20200922,1
GN1 MF V1,20200923,1
GN1 MF V1,20200924,1
GN1 MF V1,20200925,1
GN1 MF V1,20200928,1
GN1 MF V1,20200929,1
GN1 MF V1,20200930,1
GN1 MF V1,20201001,1
GN1 MF V1,20201002,1
GN1 MF V1,20201005,1
GN1 MF V1,20201006,1
GN1 MF V1,20201007,1
GN1 MF V1,20201008,1
GN1 MF V1,20201009,1
GN1 MF V1,20201012,1
GN1 MF V1,20201013,1
GN1 MF V1,20201014,1
GN1 MF V1,20201015,1
GN1 MF V1,20201016,1
GN1 MF V1,20201019,1
GN1 MF V1,20201020,1
GN1 MF V1,20201021,1
GN1 MF V1,20201022,1
GN1 MF V1,20201023,1
GN1 MF V1,20201026,1
GN1 MF V1,20201027,1
GN1 MF V1,20201028,1
GN1 MF V1,20201029,1
GN1 MF V1,20201030,1
GN1 MF V1,20201102,1
GN1 MF V1,20201103,1
GN1 MF V1,20201104,1
GN1 MF V1,20201105,1
GN1 MF V1,20201106,1
GN1 MF V1,20201109,1
GN1 MF V1,20201110,1
GN1 MF V1,20201111,1
GN1 MF V1,20201112,1
GN1 MF V1,20201113,1
L2 NOSCHMF V1,20200817,1
L2 NOSCHMF V1,20200818,1
L2 NOSCHMF V1,20200819,1
L2 NOSCHMF V1,20200820,1
L2 NOSCHMF V1,20200821,1
L2 NOSCHMF V1,20200824,1
L2 NOSCHMF V1,20200825,1
L2 NOSCHMF V1,20200826,1
L2 NOSCHMF V1,20200827,1
L2 NOSCHMF V1,20200828,1
L2 NOSCHMF V1,20200831,1
L2 NOSCHMF V1,20200901,1
L2 NOSCHMF V1,20200902,1
L2 NOSCHMF V1,20200903,1
L2 NOSCHMF V1,20200904,1
L2 NOSCHMF V1,20200908,1
L2 NOSCHMF V1,20200909,1
L2 NOSCHMF V1,20200910,1
L2 NOSCHMF V1,20200911,1
L2 NOSCHMF V1,20200914,1
L2 NOSCHMF V1,20200915,1
L2 NOSCHMF V1,20200916,1
L2 NOSCHMF V1,20200917,1
L2 NOSCHMF V1,20200918,1
L2 NOSCHMF V1,20200921,1
L2 NOSCHMF V1,20200922,1
L2 NOSCHMF V1,20200923,1
L2 NOSCHMF V1,20200924,1
L2 NOSCHMF V1,20200925,1
L2 NOSCHMF V1,20200928,1
L2 NOSCHMF V1,20200929,1
L2 NOSCHMF V1,20200930,1
L2 NOSCHMF V1,20201001,1
L2 NOSCHMF V1,20201002,1
L2 NOSCHMF V1,20201005,1
L2 NOSCHMF V1,20201006,1
L2 NOSCHMF V1,20201007,1
L2 NOSCHMF V1,20201008,1
L2 NOSCHMF V1,20201009,1
L2 NOSCHMF V1,20201012,1
L2 NOSCHMF V1,20201013,1
L2 NOSCHMF V1,20201014,1
L2 NOSCHMF V1,20201015,1
L2 NOSCHMF V1,20201016,1
L2 NOSCHMF V1,20201019,1
L2 NOSCHMF V1,20201020,1
L2 NOSCHMF V1,20201021,1
L2 NOSCHMF V1,20201022,1
L2 NOSCHMF V1,20201023,1
L2 NOSCHMF V1,20201026,1
L2 NOSCHMF V1,20201027,1
L2 NOSCHMF V1,20201028,1
