route_id,trip_id
SILVER,[@4.0.6090318@][1597351255773]/83__SV2_UIMF_V1
GREY SUNDAY,[@2.0.85633657@][31][1463430303388]/22__GN4_SU
GREY SATURDAY,[@15.0.73008535@][31][1401898680792]/9__GN4SA
SILVER,[@12.0.42199629@][4][1246896833000]/74__SV4_UI_NOSCH
LAVENDER SATURDAY,[@15.0.63188981@][2][1334072065990]/30__L2SA
YELLOW LATE NIGHT SATURDAY,[@124.0.92327957@][1484578220911]/38__Y1SA
LIME EVENING SATURDAY,[@124.0.94417146@][12][1496418439344]/7__LM2SA_V1
TEAL SUNDAY,[@4.0.6086413@][1597347888414]/30__T2UISU_V1
TEAL,[@4.0.6079335@][1597347351575]/85__T4_UIMF_V1
5E GREEN EXPRESS ALT,[@36.0.28512332@][3][1175211194847]/10__7W_/_5E_SHOW_SCH
GREEN,1GN510__GN1_MF
GREEN,[@4.0.5960707@][1597257255963]/62__GN4_MF_V1
GREEN SUNDAY,[@4.0.6003662@][1597257871006]/36__GR3_UISU_V1
ILLINI,[@7.0.41200832@][2][1238430887312]/169__I2_UIMF
GREY,[@2.0.80545657@][32][1425489629219]/36__GR2_MF
TEAL SATURDAY,[@12.0.44194660@][1250946648828]/150__T2UISA
SILVER,[@12.0.42199629@][4][1246896960625]/107__SV5_UIMF
SILVER,[@12.0.42199629@][3][1246896440906]/14__SV5_UIMF
GREEN SUNDAY,[@124.0.92334988@][1484579202830]/94__GR4_SU
GREEN SUNDAY,[@124.0.92334988@][1484579202830]/88__GN1_SU
GREEN EVENING,[@7.0.41201218@][3][1243953493328]/0__GNX4_MF
1 YELLOW ALT,[@7.0.40225505@][1][1227301358500]/0__1N_SHOW_SCH
SILVER,[@4.0.6090318@][1597351255773]/129__SV4_UI_NOSCH_V1
LAVENDER ALT,[@2.0.84876422@][1455575336053]/60__3N_SHOW#1_SCH
YELLOWHOPPER,[@4.0.5877225@][1597168632569]/36__Y4_MF_V1
ORANGE,[@2.0.86175868@][1458585713139]/6__O3_MF
TEAL LATE NIGHT,[@7.0.41905826@][3][1246486925328]/0__T2_UIMF
TEAL SUNDAY,[@4.0.6086413@][1597347888414]/1__T2_NONUI_SU_V1
YELLOW LATE NIGHT SUNDAY,[@4.0.5890225@][1597168976725]/11__Y5UISU_V1
ORANGE,[@2.0.86175868@][1458585713139]/81__O1_MF
SILVER LIMITED SUNDAY,[@124.0.92241454@][1484326515007]/79__SV1_NONUISU
SILVER,[@12.0.42199629@][3][1246896590515]/65__SV1_UIMF
GREENHOPPER EVENING,[@4.0.5987858@][1597257569370]/16__GN3_MF_V1
GREEN EVENING,[@4.0.5972609@][1597257368084]/2__L2_NOSCHMF_V1
LIME SATURDAY,[@124.0.94415201@][11][1496415327969]/6__LM1SA
ILLINI,[@4.0.6310080@][1597516121254]/98__I8_UIMF_V1
SILVER EVENING SATURDAY,[@4.0.6326071@][1597517274838]/23__SV2UISA_V1
YELLOW SUNDAY,[@4.0.5882677@][1597168773965]/6__Y2UISU_V1
LAVENDER,[@15.0.63192662@][2][1343847939085]/0__Y3UIMF_V1
TEAL SUNDAY,[@124.0.92229742@][1484323714302]/93__T2UISU
YELLOW LATE NIGHT SUNDAY,[@124.0.92330667@][1484578259855]/44__Y2UISU
GREEN SUNDAY,[@4.0.6003662@][1597257871006]/28__GR3_NON_UI_SU_V1
ILLINI,[@7.0.41200832@][1][1238430123625]/50__I5_UIMF
TEAL,[@7.0.41893871@][4][1243540851671]/26__T3_NONUIMF
SILVER,[@4.0.6090318@][1597351255773]/107__SV1_UIMF_V1
SILVER LIMITED SUNDAY,[@124.0.92241454@][1484326515007]/37__SV1_NONUISU
GREEN SUNDAY,[@4.0.6003662@][1597257871006]/30__GR1_SU_V1
SILVER LIMITED SUNDAY,[@124.0.92241454@][1484326515007]/60__SV1_NONUISU
